rh.aparc.foldind	rh_bankssts_foldind	rh_caudalanteriorcingulate_foldind	rh_caudalmiddlefrontal_foldind	rh_cuneus_foldind	rh_entorhinal_foldind	rh_fusiform_foldind	rh_inferiorparietal_foldind	rh_inferiortemporal_foldind	rh_isthmuscingulate_foldind	rh_lateraloccipital_foldind	rh_lateralorbitofrontal_foldind	rh_lingual_foldind	rh_medialorbitofrontal_foldind	rh_middletemporal_foldind	rh_parahippocampal_foldind	rh_paracentral_foldind	rh_parsopercularis_foldind	rh_parsorbitalis_foldind	rh_parstriangularis_foldind	rh_pericalcarine_foldind	rh_postcentral_foldind	rh_posteriorcingulate_foldind	rh_precentral_foldind	rh_precuneus_foldind	rh_rostralanteriorcingulate_foldind	rh_rostralmiddlefrontal_foldind	rh_superiorfrontal_foldind	rh_superiorparietal_foldind	rh_superiortemporal_foldind	rh_supramarginal_foldind	rh_frontalpole_foldind	rh_temporalpole_foldind	rh_transversetemporal_foldind	rh_insula_foldind	BrainSegVolNotVent	eTIV
130_S_0102.nii	6.0	13.0	36.0	37.0	6.0	55.0	71.0	51.0	22.0	105.0	47.0	83.0	37.0	45.0	9.0	20.0	19.0	19.0	33.0	40.0	53.0	19.0	75.0	62.0	14.0	118.0	109.0	89.0	46.0	47.0	9.0	14.0	6.0	63.0	994850.0	1453442.41985
128_S_1043.nii	11.0	33.0	33.0	31.0	12.0	58.0	94.0	67.0	21.0	103.0	65.0	52.0	51.0	62.0	6.0	25.0	21.0	21.0	20.0	21.0	56.0	30.0	65.0	54.0	33.0	121.0	116.0	81.0	51.0	79.0	10.0	7.0	6.0	37.0	1165368.0	1737808.50111
021_S_0647.nii	9.0	18.0	22.0	33.0	6.0	46.0	88.0	65.0	19.0	119.0	62.0	74.0	76.0	58.0	11.0	16.0	13.0	15.0	18.0	25.0	40.0	31.0	45.0	60.0	16.0	101.0	78.0	78.0	55.0	45.0	7.0	10.0	4.0	54.0	1067518.0	1519189.96384
005_S_0610.nii	7.0	22.0	25.0	37.0	6.0	46.0	81.0	46.0	14.0	117.0	60.0	95.0	42.0	58.0	8.0	16.0	16.0	13.0	24.0	21.0	47.0	38.0	49.0	49.0	20.0	99.0	102.0	63.0	51.0	53.0	7.0	11.0	4.0	40.0	948810.0	1540771.25564
027_S_1254.nii	5.0	29.0	24.0	38.0	4.0	47.0	74.0	62.0	28.0	99.0	60.0	66.0	47.0	61.0	7.0	15.0	16.0	18.0	18.0	34.0	48.0	41.0	57.0	78.0	17.0	121.0	124.0	81.0	40.0	59.0	11.0	12.0	4.0	52.0	1044401.0	1630294.00708
020_S_0213.nii	11.0	22.0	23.0	36.0	6.0	52.0	107.0	68.0	15.0	105.0	48.0	66.0	46.0	57.0	9.0	18.0	18.0	18.0	22.0	15.0	51.0	24.0	58.0	58.0	13.0	112.0	98.0	92.0	46.0	65.0	9.0	10.0	5.0	61.0	1066108.0	1621115.13982
941_S_1195.nii	5.0	23.0	53.0	33.0	9.0	55.0	100.0	61.0	22.0	114.0	51.0	74.0	44.0	72.0	7.0	20.0	29.0	19.0	32.0	31.0	49.0	27.0	77.0	79.0	9.0	141.0	151.0	80.0	60.0	62.0	9.0	9.0	4.0	62.0	1056414.0	1668515.79948
057_S_1371.nii	3.0	21.0	44.0	41.0	9.0	63.0	79.0	72.0	24.0	96.0	61.0	65.0	47.0	59.0	8.0	19.0	22.0	23.0	30.0	28.0	59.0	39.0	76.0	67.0	7.0	143.0	155.0	78.0	66.0	79.0	9.0	10.0	8.0	33.0	1016035.0	1532933.3764
129_S_1204.nii	8.0	15.0	25.0	51.0	4.0	77.0	116.0	90.0	28.0	140.0	52.0	74.0	54.0	73.0	6.0	18.0	21.0	23.0	27.0	24.0	64.0	19.0	61.0	89.0	21.0	153.0	128.0	114.0	46.0	72.0	9.0	10.0	5.0	45.0	1005360.0	1606138.86362
136_S_0195.nii	4.0	17.0	29.0	26.0	10.0	48.0	64.0	62.0	14.0	91.0	43.0	48.0	43.0	56.0	7.0	12.0	20.0	13.0	31.0	22.0	45.0	28.0	55.0	50.0	12.0	102.0	122.0	51.0	37.0	50.0	10.0	9.0	3.0	43.0	934679.0	1500561.04517
